backers,category,currency,description,goal,main_category,names,pledged,proj_details,status
41,comics|comic books,£,SolarSlam!,300,comics,Galaxy Grappling Alliance - Issue 2,730,"
					Backers: 41,
					Funding: £730 of £300 (,243% funded,),
					Campaign Dates: June 19th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
47,design|product design,$,"The Clip-On Shield is an innovative PPE face shield, designed for casual everyday use with
workforces and the general public in mind.",30000,design,Clip-On Face Shield: Socially Appealing Face Shield,2727,"
					Backers: 47,
					Funding: $2,727 of $30,000 (,9% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
59,crafts|pottery,£,Egle and Eddie plan to open a ceramics and floristry studio in the village of Blackhall Mill.,3500,crafts,Blackhall Mill Pottery and Flowers.,3561,"
					Backers: 59,
					Funding: £3,561 of £3,500 (,101% funded,),
					Campaign Dates: July 2nd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
82,comics|graphic novels,$,"An all-ages comic about friendship, monsters, and ancient magic!",4000,comics,Legends of Fomora,4440,"
					Backers: 82,
					Funding: $4,440 of $4,000 (,111% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
7,games|tabletop games,$,"A board game, card game, and flash cards to assist memory and mental elasticity particularly, but not exclusively, for ages 45 and up.",22000,games,Incognito Games - Memory Games for Mature Minds,551,"
					Backers: 7,
					Funding: $551 of $22,000 (,2% funded,),
					Campaign Dates: July 1st -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
20,crafts|pottery,£,Become a citizen and help me build a self-sustainable pottery!,30000,crafts,The Land of Fylesia,653,"
					Backers: 20,
					Funding: £653 of £30,000 (,2% funded,),
					Campaign Dates: June 14th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
66,design|product design,£,Beautiful yoga mats made from original artwork.,4000,design,Vive Yoga Mats,4151,"
					Backers: 66,
					Funding: £4,151 of £4,000 (,103% funded,),
					Campaign Dates: June 15th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
57,games|tabletop games,£,"A ball of Gnomish battlefield mayhem cast in metal, with Dwarf and Gnome crew, pus the option to create a captured Goblin version.",800,games,Iron Hammer Miniatures: The Mighty Gnomish War Engine,2576,"
					Backers: 57,
					Funding: £2,576 of £800 (,322% funded,),
					Campaign Dates: July 1st -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
36,publishing|children's books,$,Engaging monthly publication that builds children's strong emotional skills while they discover worldwide perspectives and adventures.,27000,publishing,Be Ready Explorers: An Emotion-ful Publication for Kids,27222,"
					Backers: 36,
					Funding: $27,222 of $27,000 (,100% funded,),
					Campaign Dates: June 16th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
8,,£,Everything you need to start your apothecary for the beginning herbalist and natural product maker!,6000,crafts,The Herbal Starter Kit,242,"
					Backers: 8,
					Funding: £242 of £6,000 (,4% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
